gender,age,parental level of education,math score,reading score,writing score,extracurricular activities,IELTS,financial sponsorship,visa eligible
female,23.0,associate's degree,37.0,57.0,56.0,multiple,7.9,family-sponsored,no
male,19.0,some high school,84.0,83.0,75.0,volunteering,5.4,family-sponsored,yes
female,24.0,master's degree,55.0,64.0,70.0,sports,7.9,scholarship,no
female,19.0,some college,58.0,63.0,73.0,volunteering,5.6,self-funded,yes
female,23.0,associate's degree,68.0,67.0,73.0,volunteering,8.4,self-funded,yes
female,19.0,some college,46.0,64.0,66.0,arts,5.4,family-sponsored,no
male,19.0,some high school,68.0,51.0,57.0,sports,5.7,scholarship,yes
female,19.0,high school,8.0,24.0,23.0,multiple,5.8,scholarship,no
male,19.037627934076028,bachelor's degree,61.36801844911955,69.9920461323744,76.39112777767153,multiple,5.390646081097249,government-funded,yes
female,19.0,some college,22.0,39.0,33.0,none,6.0,scholarship,no
female,23.0,high school,77.0,88.0,85.0,volunteering,8.3,government-funded,yes
female,20.011754485742397,high school,59.19538196284203,62.61778766692894,75.06941508581201,none,5.939060064443384,government-funded,yes
female,19.0,some college,54.0,63.0,67.0,none,6.4,scholarship,no
male,24.0,high school,82.0,84.0,82.0,multiple,8.6,family-sponsored,yes
female,22.0,bachelor's degree,65.0,81.0,81.0,arts,7.2,scholarship,yes
female,19.0,high school,61.0,73.0,63.0,sports,5.8,self-funded,no
male,23.986675228477612,bachelor's degree,49.43356624528276,58.282044030545514,59.91042468499082,sports,8.494919492059976,scholarship,yes
male,20.0,high school,72.0,73.0,74.0,arts,5.8,family-sponsored,yes
male,21.0,bachelor's degree,64.0,60.0,58.0,volunteering,6.9,government-funded,no
female,22.0,some high school,37.0,46.0,46.0,none,7.1,family-sponsored,no
male,23.0,associate's degree,81.0,81.0,79.0,sports,8.2,government-funded,yes
male,24.048509871691092,some high school,57.01296151509394,54.41644545364938,56.09862608478753,arts,7.589331866782619,self-funded,yes
female,18.974587171953093,high school,56.80712640042068,75.17794110514394,72.61004878231677,none,5.223520051728461,self-funded,yes
male,19.996015592067074,bachelor's degree,69.46786673358073,76.96065477724976,76.77856019624836,multiple,5.60432742099942,scholarship,yes
female,25.0,some high school,60.0,70.0,74.0,arts,9.0,scholarship,yes
male,19.0,associate's degree,62.0,61.0,55.0,sports,5.2,government-funded,no
male,24.0,associate's degree,82.0,75.0,77.0,arts,7.5,family-sponsored,yes
male,25.0,some high school,55.0,47.0,44.0,arts,8.6,family-sponsored,no
female,19.0,master's degree,61.0,71.0,78.0,sports,5.5,self-funded,yes
female,23.0,some high school,68.0,71.0,75.0,sports,8.0,family-sponsored,no
female,24.013579075791363,high school,51.82962987000266,57.27695552758569,55.596431142519094,arts,7.716596561691411,government-funded,yes
female,19.0,associate's degree,53.0,71.0,67.0,arts,5.0,family-sponsored,no
female,19.996812598971406,high school,77.11216652460723,90.07499226552787,84.98911302688772,volunteering,6.325154407971684,family-sponsored,yes
male,19.0,master's degree,71.0,67.0,67.0,sports,5.3,family-sponsored,no
male,24.0,associate's degree,77.0,67.0,64.0,sports,8.5,government-funded,no
male,23.980868006913465,some college,67.0060038097911,73.54314585825205,70.37405942915647,none,8.706475412988405,government-funded,yes
female,19.0,some college,67.0,86.0,83.0,volunteering,6.1,family-sponsored,yes
female,19.0,high school,23.0,44.0,36.0,multiple,5.1,government-funded,yes
female,19.0,some college,88.0,95.0,92.0,volunteering,6.3,family-sponsored,yes
male,18.985334572264907,high school,68.52012927656178,58.167953803409894,53.03810021851589,multiple,5.274998207677937,government-funded,yes
male,22.0,associate's degree,78.0,81.0,82.0,arts,7.0,family-sponsored,yes
female,25.0,master's degree,87.0,100.0,100.0,multiple,8.9,government-funded,no
male,24.0,bachelor's degree,37.0,56.0,47.0,none,8.0,self-funded,no
male,19.019183678189375,bachelor's degree,82.8643127932354,81.78989708621911,84.36284151127217,multiple,5.919181884547683,self-funded,yes
female,23.96967536647623,associate's degree,64.93735127660462,84.01161147966432,83.9299655479351,multiple,8.327394947857123,scholarship,yes
male,23.0,some college,79.0,73.0,67.0,multiple,8.4,government-funded,no
female,25.0,some college,58.0,70.0,67.0,sports,9.0,scholarship,no
