gender,age,parental level of education,education level,math score,reading score,writing score,extracurricular activities,IELTS,financial sponsorship,visa eligible
male,20,associate's degree,College Graduate,67,57,53,multiple,6.0,family-sponsored,no
male,24,high school,Undergraduate,55,41,48,none,8.8,self-funded,yes
male,20,some high school,College Graduate,73,66,62,arts,6.1,family-sponsored,no
male,22,some high school,College Graduate,62,67,69,multiple,7.4,self-funded,yes
male,19,associate's degree,Undergraduate,49,51,51,sports,6.3,government-funded,no
male,20,some college,Undergraduate,61,61,62,arts,6.3,self-funded,no
female,21,some high school,College Graduate,59,85,80,arts,6.6,scholarship,yes
female,20,some college,Postgraduate,61,68,66,arts,6.4,government-funded,no
female,23,bachelor's degree,College Graduate,99,100,100,multiple,7.7,government-funded,yes
male,24,high school,College Graduate,58,52,54,none,7.9,government-funded,yes
female,21,some college,College Graduate,67,81,79,sports,6.7,government-funded,yes
female,23,high school,College Graduate,61,68,63,volunteering,7.8,government-funded,no
male,19,associate's degree,Undergraduate,79,82,80,none,5.4,scholarship,yes
male,25,high school,College Graduate,73,71,68,sports,8.7,family-sponsored,yes
male,22,some high school,Postgraduate,81,75,76,multiple,6.5,self-funded,yes
male,23,bachelor's degree,Undergraduate,87,84,87,none,7.7,scholarship,yes
male,19,some high school,Postgraduate,72,68,67,none,5.0,government-funded,no
male,24,some college,Postgraduate,78,72,70,sports,7.9,scholarship,yes
female,19,some college,Postgraduate,63,80,80,volunteering,6.4,self-funded,yes
male,25,bachelor's degree,Postgraduate,77,67,68,none,8.7,scholarship,no
female,22,master's degree,Undergraduate,54,64,67,sports,7.2,self-funded,yes
female,22,some high school,Undergraduate,54,61,62,volunteering,7.2,family-sponsored,yes
female,22,bachelor's degree,Postgraduate,86,92,87,none,6.9,self-funded,no
male,22,associate's degree,Postgraduate,69,70,63,multiple,7.2,government-funded,yes
female,19,high school,Undergraduate,45,63,59,multiple,5.8,scholarship,no
female,19,some high school,Undergraduate,74,90,88,volunteering,6.2,government-funded,yes
