gender,race/ethnicity,parental level of education,math score,reading score,writing score,percentage,grade,extracurricular activities,ielts,financial sponsorship,visa eligible
female,group B,bachelor's degree,72,72,74,72.66666667,C,sports,9,family-sponsored,no
female,group C,some college,69,90,88,82.33333333,B,volunteering,6.7,self-funded,yes
female,group B,master's degree,90,95,93,92.66666667,A,none,6.1,scholarship,no
male,group A,associate's degree,47,57,44,49.33333333,F,multiple,7.3,scholarship,no
male,group C,some college,76,78,75,76.33333333,B,sports,8.5,scholarship,no
female,group B,associate's degree,71,83,78,77.33333333,B,none,7,self-funded,no
female,group B,some college,88,95,92,91.66666667,A,volunteering,6.3,family-sponsored,yes
male,group B,some college,40,43,39,40.66666667,F,none,6.7,self-funded,no
male,group D,high school,64,64,67,65,C,sports,5,family-sponsored,yes
female,group B,high school,38,60,50,49.33333333,F,arts,6.2,government-funded,no
male,group C,associate's degree,58,54,52,54.66666667,C,none,8.6,government-funded,no
male,group D,associate's degree,40,52,43,45,F,sports,7,scholarship,no
female,group B,high school,65,81,73,73,C,volunteering,8.5,self-funded,no
male,group A,some college,78,72,70,73.33333333,C,sports,7.9,scholarship,yes
female,group A,master's degree,50,53,58,53.66666667,C,sports,6.9,scholarship,no
female,group C,some high school,69,75,78,74,C,arts,6.7,self-funded,no
male,group C,high school,88,89,86,87.66666667,B,sports,7.5,self-funded,no
female,group B,some high school,18,32,28,26,F,multiple,7.9,self-funded,no
male,group C,master's degree,46,42,46,44.66666667,F,multiple,5.5,scholarship,yes
female,group C,associate's degree,54,58,61,57.66666667,C,volunteering,6.3,family-sponsored,no
male,group D,high school,66,69,63,66,C,multiple,8.6,family-sponsored,no
female,group B,some college,65,75,70,70,C,none,8.2,scholarship,yes
male,group D,some college,44,54,53,50.33333333,C,arts,5.7,self-funded,no
female,group C,some high school,69,73,73,71.66666667,C,none,7.5,government-funded,no
male,group D,bachelor's degree,74,71,80,75,B,sports,8.8,government-funded,yes
male,group A,master's degree,73,74,72,73,C,sports,5.5,scholarship,no
male,group B,some college,69,54,55,59.33333333,C,none,8.4,scholarship,no
female,group C,bachelor's degree,67,69,75,70.33333333,C,volunteering,9,scholarship,no
male,group C,high school,70,70,65,68.33333333,C,arts,5.2,scholarship,no
female,group D,master's degree,62,70,75,69,C,sports,6,self-funded,no
female,group D,some college,69,74,74,72.33333333,C,arts,6.8,family-sponsored,no
female,group B,some college,63,65,61,63,C,sports,5.6,family-sponsored,no
female,group E,master's degree,56,72,65,64.33333333,C,volunteering,8.4,family-sponsored,no
male,group D,some college,40,42,38,40,F,sports,6.1,government-funded,no
male,group E,some college,97,87,82,88.66666667,B,multiple,5.9,government-funded,no
male,group E,associate's degree,81,81,79,80.33333333,B,sports,8.2,government-funded,yes
female,group D,associate's degree,74,81,83,79.33333333,B,sports,6.3,scholarship,no
female,group D,some high school,50,64,59,57.66666667,C,none,6.3,government-funded,no
female,group D,associate's degree,75,90,88,84.33333333,B,multiple,8.1,self-funded,yes
male,group B,associate's degree,57,56,57,56.66666667,C,arts,7.7,scholarship,no
male,group C,associate's degree,55,61,54,56.66666667,C,multiple,6.8,family-sponsored,no
female,group C,associate's degree,58,73,68,66.33333333,C,sports,6.5,self-funded,no
female,group B,associate's degree,53,58,65,58.66666667,C,arts,6.7,scholarship,no
male,group B,some college,59,65,66,63.33333333,C,volunteering,8.4,scholarship,yes
female,group E,associate's degree,50,56,54,53.33333333,C,volunteering,7.4,self-funded,no
male,group B,associate's degree,65,54,57,58.66666667,C,none,7.2,family-sponsored,no
female,group A,associate's degree,55,65,62,60.66666667,C,arts,6.3,government-funded,yes
female,group C,high school,66,71,76,71,C,none,7.9,family-sponsored,no
female,group D,associate's degree,57,74,76,69,C,none,8.5,family-sponsored,yes
male,group C,high school,82,84,82,82.66666667,B,multiple,8.6,family-sponsored,yes
male,group E,some college,53,55,48,52,C,multiple,5.7,scholarship,no
male,group E,associate's degree,77,69,68,71.33333333,C,none,6.8,family-sponsored,yes
male,group C,some college,53,44,42,46.33333333,F,none,6.1,self-funded,no
male,group D,high school,88,78,75,80.33333333,B,arts,6.7,government-funded,no
female,group C,some high school,71,84,87,80.66666667,B,arts,7.9,government-funded,yes
female,group C,high school,33,41,43,39,F,multiple,7.5,scholarship,no
female,group E,associate's degree,82,85,86,84.33333333,B,none,7.1,self-funded,yes
male,group D,associate's degree,52,55,49,52,C,volunteering,8.8,self-funded,no
